<<<<<<< HEAD
����,������,�Ͻ�,�������(��C),�ϰ�����(mm),�ִ� ���� ǳ��(m/s),��� ������(%)
192,����,2021-01-19,-8.2,,5.7,44
192,����,2021-01-20,-9.7,,4.5,64
192,����,2021-01-21,-2.6,1.7,4.2,77.8
192,����,2021-01-22,5.1,1.2,2.3,97.5
192,����,2021-01-23,6.8,1.4,6.1,87.9
192,����,2021-01-24,3,0,7.9,70.4
192,����,2021-01-25,-1.2,,6.2,75.8
192,����,2021-01-26,1.5,10.3,3.8,94.5
=======
일자,요일,본사정원수,실질정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,Month,Date,New_lunch,New_dinner,lunch_rice,lunch_soup,lunch_main,dinner_rice,dinner_soup,dinner_main,평균기온(°C),일강수량(mm),평균 상대습도(%),일 최심신적설(cm)
2016-02-01,월,2601,2401,50,150,238,0,1039,331,2,1,0,0,밥,오징어찌개,쇠불고기,밥,육개장,자반고등어구이,-0.6,0.0,43.9,0.0
2016-02-02,화,2601,2378,50,173,319,0,867,560,2,2,0,0,밥,김치찌개,가자미튀김,콩나물밥*양념장,어묵국,유산슬,-2.3,0.0,47.5,0.0
2016-02-03,수,2601,2365,56,180,111,0,1017,573,2,3,0,0,카레덮밥,팽이장국,치킨핑거,밥,청국장찌개,황태양념구이,-1.7,0.0,57.1,0.0
2016-02-04,목,2601,2277,104,220,355,0,978,525,2,4,0,0,밥,쇠고기무국,주꾸미볶음,미니김밥*겨자장,우동,멕시칸샐러드,-0.2,0.0,53.4,0.0
2016-02-05,금,2601,2142,278,181,34,0,925,330,2,5,0,0,밥,떡국,돈육씨앗강정,밥,차돌박이찌개,닭갈비,1.3,0.0,44.4,0.0
2016-02-11,목,2601,2075,383,143,417,0,1045,550,2,11,0,0,밥,시래기국,훈제오리구이,참치회덮밥,맑은국,군만두,6.1,0.0,57.1,0.0
2016-02-12,금,2601,2056,389,156,93,0,909,598,2,12,0,0,밥,꽃게탕,돈육굴소스볶음,밥,김치콩나물국,미니함박,9.2,62.8,88.0,0.0
2016-02-15,월,2601,2310,87,204,482,0,1268,672,2,15,0,0,밥,시금치국,닭감자조림,밥,홍합미역국,등갈비김치찜,-1.5,0.0,38.4,0.0
2016-02-16,화,2601,2293,72,236,526,0,1014,523,2,16,0,0,밥,쇠고기무국,탕수어,밥,된장찌개,쇠불고기,0.2,0.0,59.6,0.0
2016-02-17,수,2601,2273,78,250,23,0,916,588,2,17,0,0,밥,냉이된장국,쇠고기장조림,볶음밥*자장소스,맑은국,새우또띠아,1.7,0.0,49.8,0.0
2016-02-18,목,2601,2270,77,254,367,0,910,489,2,18,0,0,낙지비빔밥,유부장국,고구마치즈구이,밥,순두부찌개,명태조림,2.3,0.0,61.8,0.0
2016-02-19,금,2601,2204,145,252,69,0,763,597,2,19,0,0,밥,대구찌개,마늘간장치킨,밥,설렁탕,김치전,5.0,0.0,58.9,0.0
2016-02-22,월,2601,2304,90,207,434,0,1298,645,2,22,0,0,밥,쇠고기느타리국,갈치구이,밥,옹심이만두국,떡갈비조림,3.4,0.0,45.5,0.0
2016-02-23,화,2601,2307,57,237,488,0,899,610,2,23,0,0,밥,콩나물국,돈육간장볶음,밥,콩비지찌개,해물까스&타르타르소스,5.5,0.0,39.5,0.0
2016-02-24,수,2601,2315,54,232,14,0,1022,514,2,24,0,0,비빔밥,팽이장국,소세지피망볶음,밥,열무된장국,매운돼지갈비찜,1.4,0.0,29.9,0.0
2016-02-25,목,2601,2284,56,261,335,0,917,531,2,25,0,0,밥,북어계란국,닭갈비,김밥,잔치국수,교자만두,0.8,0.0,32.8,0.0
2016-02-26,금,2601,2179,144,278,42,0,766,585,2,26,0,0,밥,수제비국,오징어볶음,밥,닭개장,삼치구이,1.8,0.0,61.0,0.0
2016-02-29,월,2601,1838,595,168,110,0,869,344,2,29,0,0,밥,얼갈이된장국,제육볶음,밥,버섯들깨탕,꽁치한마리구이,-0.2,0.0,43.8,0.0
2016-03-02,수,2624,2315,127,182,261,0,1127,631,3,2,0,0,밥,쇠고기미역국,주꾸미볶음,밥,된장찌개,버섯불고기,3.8,0.0,49.6,0.0
2016-03-03,목,2624,2339,61,224,351,0,1000,473,3,3,0,0,밥,근대된장국,탕수육,멸치주먹밥,우동,떡볶이,6.7,0.0,61.9,0.0
2016-03-04,금,2624,2294,83,247,79,0,837,673,3,4,0,0,밥,부대찌개,가자미튀김,밥,오징어국,미트볼조림,8.2,36.1,88.4,0.0
2016-03-07,월,2624,2379,50,195,456,0,1326,625,3,7,0,0,밥,콩나물국,닭갈비,밥,대구찌개,돈육굴소스볶음,11.0,0.0,67.8,0.0
2016-03-08,화,2624,2365,47,212,426,0,1026,609,3,8,0,0,밥,차돌박이찌개,고등어김치말이,카레덮밥,가쯔오장국,수제고로케*케찹,8.0,3.3,65.1,0.0
2016-03-09,수,2624,2356,43,225,0,0,901,523,3,9,0,0,밥,북어국,돈육장조림,밥,육개장,생선까스*탈탈소스,5.2,6.8,56.6,0.0
2016-03-10,목,2624,2324,55,245,290,0,847,525,3,10,0,0,밥,고추장찌개,닭데리야끼조림,볶음밥,짬뽕,개성감자만두,3.0,0.0,33.0,0.0
2016-03-11,금,2624,2241,108,275,76,0,728,591,3,11,0,0,밥,배추된장국,수제돈가스,밥,연두부탕,코다리무조림,2.0,0.0,34.1,0.0
2016-03-14,월,2624,2380,61,183,376,0,1286,586,3,14,0,0,밥,어묵국,돈육고추장볶음,밥,달래된장찌개,간장찜닭,5.5,0.0,50.5,0.0
2016-03-15,화,2624,2355,38,231,399,0,958,545,3,15,0,0,밥,쑥국,소불고기,짜장잡채덮밥,계란파국,참치야채전,5.9,0.0,49.1,0.0
2016-03-16,수,2624,2361,50,213,0,0,998,531,3,16,0,0,곤드레밥,콩나물김치국,미니채소떡갈비,밥,뼈해장국,해물청경채볶음,8.4,0.0,53.1,0.0
2016-03-17,목,2624,2330,52,242,327,0,832,548,3,17,0,0,밥,사골우거지국,탕수어,토마토스파게티,양송이스프,미니햄버거,9.3,0.0,55.3,0.0
2016-03-18,금,2624,2229,118,277,57,0,757,521,3,18,0,0,밥,시금치국,훈제오리구이,밥,닭곰탕,임연수찜,9.8,27.6,89.3,0.0
2016-03-21,월,2624,2354,65,205,329,0,1030,605,3,21,0,0,밥,꽃게탕,버섯불고기,밥,수제비국,아귀콩나물찜,9.3,0.0,62.5,0.0
2016-03-22,화,2624,2375,41,208,378,0,917,585,3,22,0,0,밥,쇠고기샤브국,코다리강정,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,9.6,0.0,64.5,0.0
2016-03-23,수,2624,2346,42,236,0,0,963,544,3,23,0,0,콩나물밥*달래장,맑은국,치킨텐더*요거트D,밥,알탕,동그랑땡전,10.5,0.0,52.3,0.0
2016-03-24,목,2624,2320,53,251,293,0,876,507,3,24,0,0,밥,북어계란국,쇠고기장조림,참치회덮밥,미소장국,군만두,8.3,0.0,45.6,0.0
2016-03-25,금,2624,2251,98,275,59,0,861,523,3,25,0,0,밥,닭개장,자반고등어구이,밥,냉이된장찌개,누룽지탕수육,6.8,2.8,70.8,0.0
2016-03-28,월,2624,2350,77,197,299,0,1193,637,3,28,0,0,밥,얼갈이된장국,닭갈비,밥,콩비지찌개,유산슬,8.4,0.0,49.9,0.0
2016-03-29,화,2624,2327,52,245,259,0,892,465,3,29,0,0,밥,옹심이만두국,주꾸미볶음,햄볶음밥,유부장국,돈육씨앗강정,10.7,0.0,60.0,0.0
2016-03-30,수,2624,2346,48,230,0,0,1033,463,3,30,0,0,봄새싹비빔밥,쪽파국,오징어튀김,밥,어묵국,등갈비김치찜,13.8,0.0,53.6,0.0
2016-03-31,목,2624,2340,36,248,158,0,781,526,3,31,0,0,밥,매운콩나물국,돈육굴소스볶음,주먹밥,잔치국수,또띠아피자,12.0,0.0,61.9,0.0
2016-04-01,금,2643,2286,103,254,47,0,661,591,4,1,0,0,밥,버섯들깨탕,갈치조림,밥,쇠고기미역국,순살깐풍기,13.6,0.0,57.3,0.0
2016-04-04,월,2643,2360,62,221,367,0,1237,614,4,4,0,0,밥,순두부찌개,쇠불고기,밥,된장찌개,고등어조림,11.2,2.6,81.9,0.0
2016-04-05,화,2643,2370,31,242,370,0,840,555,4,5,0,0,밥,북어국,오징어볶음*소면,김치볶음밥,가쯔오장국,감자치즈구이,12.4,0.0,66.8,0.0
2016-04-06,수,2643,2357,37,249,0,0,876,492,4,6,0,0,밥,올갱이아욱국,제육볶음,밥,매운버섯국,찜닭,11.8,26.1,64.9,0.0
2016-04-07,목,2643,2338,47,258,339,0,853,524,4,7,0,0,밥,어묵국,매운돼지갈비찜,김밥,우동,야채튀김,12.2,28.7,82.5,0.0
2016-04-08,금,2643,2273,87,283,64,0,764,542,4,8,0,0,밥,배추된장국,순살양념치킨,밥,오징어국,미니함박,15.0,0.0,60.3,0.0
2016-04-11,월,2643,2358,82,203,392,0,1225,536,4,11,0,0,밥,시래기국,훈제오리구이,밥,쇠고기무국,가자미찜,10.8,0.0,66.0,0.0
2016-04-12,화,2643,2342,76,225,239,0,771,500,4,12,0,0,밥,부대찌개,쇠고기단호박조림,치킨마요덮밥,유부주머니국,떡볶이,11.5,3.1,58.6,0.0
2016-04-14,목,2643,2285,106,252,326,0,969,562,4,14,0,0,밥,수제비국,돈육굴소스볶음,비빔밥,팽이버섯장국,새우또띠아,17.1,0.0,57.6,0.0
2016-04-15,금,2643,2231,131,281,82,0,579,582,4,15,0,0,밥,냉이된장찌개,닭데리야끼조림,밥,들깨미역국,수제돈가스,12.9,0.0,59.3,0.0
2016-04-18,월,2643,2337,81,225,330,0,1120,525,4,18,0,0,밥,배추된장국,돈육강정,밥,꽃게탕,유산슬,14.4,0.0,43.0,0.0
2016-04-19,화,2643,2360,44,239,387,0,980,449,4,19,0,0,밥,육개장,꽁치한마리구이,낙지비빔밥,유부장국,새싹피자,13.5,0.0,46.5,0.0
2016-04-20,수,2643,2334,47,262,0,0,849,504,4,20,0,0,콩나물밥,근대된장국,매콤떡갈비조림,밥,어묵국,닭볶음탕,13.5,0.0,58.8,0.0
2016-04-21,목,2643,2313,66,264,312,0,940,531,4,21,0,0,밥,대구매운탕,쇠고기볶음,오므라이스,팽이버섯국,해물까스*탈탈소스,13.8,33.2,89.0,0.0
2016-04-22,금,2643,2218,150,275,86,0,698,557,4,22,0,0,밥,북어국,등갈비김치찜,밥,순두부찌개,탕수어,17.0,0.0,70.9,0.0
2016-04-25,월,2643,2346,96,201,281,0,1227,528,4,25,0,0,밥,콩나물국,돈간장불고기,밥,알탕,순살깐풍기,15.4,0.0,51.6,0.0
2016-04-26,화,2643,2365,51,227,304,0,795,568,4,26,0,0,밥,쇠고기무국,주꾸미볶음,짜장덮밥,맑은국,쇠고기퀘사디아,16.3,1.2,61.4,0.0
2016-04-27,수,2643,2338,71,234,0,0,1028,490,4,27,0,0,나물비빔밥,미소장국,궁중떡찜,밥,청국장찌개,코다리무조림,11.4,42.9,84.5,0.0
2016-04-28,목,2643,2318,56,269,196,0,811,508,4,28,0,0,밥,미역국,양념파닭,참치주먹밥,비빔메밀국수,가쯔오장국,14.1,5.0,77.1,0.0
2016-04-29,금,2643,2222,139,282,28,0,652,507,4,29,0,0,밥,돈육김치찌개,미트볼조림,밥,들깨버섯탕,고추잡채*꽃빵,15.0,0.0,63.3,0.0
2016-05-02,월,2635,2341,80,214,302,0,1242,551,5,2,0,0,밥,시금치국,닭갈비,밥,북어국,고추장불고기,17.8,0.0,74.8,0.0
2016-05-03,화,2635,2319,65,251,292,0,964,515,5,3,0,0,곤드레밥,무채국,모둠장조림,밥,부대찌개*라면사리,탕수육,16.6,80.6,66.6,0.0
2016-05-04,수,2635,2241,150,244,0,0,723,636,5,4,0,0,밥,쇠고기샤브국,오징어볶음,카레덮밥,미소장국,수제미니햄버거,17.8,0.0,32.4,0.0
2016-05-09,월,2635,2301,101,233,344,0,1216,591,5,9,0,0,밥,매운어묵국,훈제오리구이,밥,닭개장,가자미튀김,17.6,0.0,54.9,0.0
2016-05-10,화,2635,2330,53,252,350,0,1008,519,5,10,0,0,밥,콩나물국,버섯불고기,김치볶음밥/계란,가쯔오국,찹쌀순대볶음,14.4,31.3,86.0,0.0
2016-05-11,수,2635,2309,60,266,0,0,915,423,5,11,0,0,단호박영양밥,시래기된장국,돈육칠리강정,밥,콩비지찌개,해물누룽지탕,15.8,0.1,72.3,0.0
2016-05-12,목,2635,2290,71,274,315,0,753,532,5,12,0,0,밥,오징어국,찜닭,돈까스김밥,잔치국수,멕시칸샐러드,17.6,0.0,63.4,0.0
2016-05-13,금,2635,2182,185,268,80,0,761,517,5,13,0,0,밥,된장찌개,매운돼지갈비찜,밥,쇠고기무국,코다리강정,16.2,0.0,71.8,0.0
2016-05-16,월,2635,2320,99,216,368,0,1180,594,5,16,0,0,밥,감자고추장찌개,돈육굴소스볶음,밥,닭곰탕,주꾸미볶음,15.1,6.0,58.1,0.0
2016-05-17,화,2635,2340,41,254,377,0,899,633,5,17,0,0,밥,들깨버섯탕,고등어김치말이,유부초밥,우동,떡볶이,16.4,0.0,53.8,0.0
2016-05-18,수,2635,2307,71,257,0,0,856,456,5,18,0,0,산채비빔밥,미소장국,치킨핑거,밥,뼈해장국,황태양념구이,19.3,0.0,56.8,0.0
2016-05-19,목,2635,2304,65,266,264,0,898,529,5,19,0,0,밥,열무된장국,미니채소떡갈비,새우살볶음밥,팽이장국,사천식탕수육,19.0,0.0,58.6,0.0
2016-05-20,금,2635,2179,169,287,56,0,653,487,5,20,0,0,밥,순두부찌개,닭오븐구이,밥,육개장,꽁치허브구이,19.3,0.0,55.4,0.0
2016-05-23,월,2635,2344,88,203,362,0,1160,613,5,23,0,0,밥,북어콩나물국,쇠고기불고기,밥,수제비국,데리야끼파닭,19.8,0.0,56.8,0.0
2016-05-24,화,2635,2327,74,234,310,0,1107,465,5,24,0,0,밥,한방갈비탕,꼬지삼색전,참치회덮밥,맑은국,고구마치즈구이,18.7,25.6,86.5,0.0
2016-05-25,수,2635,2305,72,258,0,0,938,454,5,25,0,0,낙지볶음밥,미역장국,탕수어,밥,된장찌개,등갈비김치찜,19.3,0.0,68.1,0.0
2016-05-26,목,2635,2286,64,285,227,0,783,520,5,26,0,0,밥,쇠고기해장국,갈치구이,짜장잡채밥,계란파국,춘권*칠리소스,20.6,0.0,64.9,0.0
2016-05-27,금,2635,2181,163,291,61,0,660,493,5,27,0,0,밥,배추된장국,닭양념조림,밥,꽃게탕,돈육청경채볶음,22.5,0.0,56.8,0.0
2016-05-30,월,2635,2347,73,215,291,0,1231,631,5,30,0,0,밥,콩나물김치국,누룽지탕수육,밥,해물순두부찌개,미니함박조림,21.5,0.0,58.9,0.0
2016-05-31,화,2635,2335,50,250,185,0,921,535,5,31,0,0,밥,근대된장국,닭갈비,참치주먹밥,쌀국수,수제고로케*케찹,21.2,0.0,62.4,0.0
2016-06-01,수,2637,2317,75,245,0,0,916,490,6,1,0,0,열무비빔밥,강된장찌개,오징어튀김,밥,어묵국,고추장불고기,20.4,0.0,57.4,0.0
2016-06-02,목,2637,2298,81,258,301,0,850,483,6,2,0,0,밥,오이미역냉국,모둠장조림,날치알볶음밥,유부장국,고추잡채*꽃빵,18.9,0.0,56.0,0.0
2016-06-03,금,2637,2178,191,268,64,0,721,548,6,3,0,0,밥,차돌박이찌개,찜닭,밥,시래기국,수제돈까스,20.7,0.0,54.5,0.0
2016-06-07,화,2637,2330,115,192,389,0,1244,629,6,7,0,0,밥,북어계란국,돈육굴소스볶음,콩나물밥*양념장,가쯔오장국,미트볼케찹조림,21.1,0.0,76.9,0.0
2016-06-08,수,2637,2339,58,240,0,0,931,500,6,8,0,0,밥,참치김치찌개,순살깐풍기,밥,육개장,자반고등어구이,21.2,0.0,80.0,0.0
2016-06-09,목,2637,2316,69,252,359,0,829,506,6,9,0,0,밥,매운콩나물국,돼지갈비찜,충무김밥,열무물국수,오징어무침,21.7,0.0,76.9,0.0
2016-06-10,금,2637,2216,151,270,61,0,697,509,6,10,0,0,밥,된장찌개,오징어볶음,밥,어묵국,버섯불고기,22.5,0.0,71.5,0.0
2016-06-13,월,2637,2330,98,209,415,0,1243,590,6,13,0,0,밥,북어콩나물국,제육볶음,밥,들깨버섯탕,삼치데리야끼구이,23.2,0.0,73.4,0.0
2016-06-14,화,2637,2340,56,241,432,0,973,593,6,14,0,0,밥,배추된장국,닭양념조림,오므라이스,미소장국,훈제오리냉채,23.0,0.0,70.4,0.0
2016-06-15,수,2637,2317,60,260,0,0,984,535,6,15,0,0,카레덮밥,맑은국,떡갈비조림,밥,닭개장,해물청경채볶음,21.9,0.0,78.6,0.0
2016-06-16,목,2637,2301,73,263,336,0,800,524,6,16,0,0,밥,부대찌개,가자미양념찜,유부초밥,냉모밀국수,치킨핑거*요거트D,23.8,0.0,65.6,0.0
2016-06-17,금,2637,2181,165,291,60,0,694,484,6,17,0,0,밥,꽃게탕,돈육강정,밥,소고기미역국,유산슬,22.4,0.0,62.9,0.0
2016-06-20,월,2637,2279,101,257,344,0,1146,585,6,20,0,0,밥,어묵국,레몬탕수육,밥,호박잎찌개,쇠불고기,22.8,5.2,84.6,0.0
2016-06-21,화,2637,2340,49,248,349,0,1091,645,6,21,0,0,밥,대구찌개,간장치킨,김밥/맑은국,비빔국수,콘샐러드,22.6,2.0,86.0,0.0
2016-06-22,수,2637,2332,47,258,0,0,1022,467,6,22,0,0,밥,시래기국,돈삼겹보쌈,밥,닭곰탕,찹쌀순대볶음,21.5,11.8,88.3,0.0
2016-06-23,목,2637,2313,53,271,346,0,877,588,6,23,0,0,밥,쇠고기무국,매콤낙지볶음,작은밥/맑은국,토마토스파게티,양송이스프,23.7,0.0,71.6,0.0
2016-06-24,금,2637,2184,169,284,52,0,805,475,6,24,0,0,밥,도토리묵냉국,목살데리야끼구이,밥,순두부찌개,해물누룽지탕,22.5,73.6,79.9,0.0
2016-06-27,월,2637,2314,96,227,300,0,1142,609,6,27,0,0,밥,배추된장국,훈제오리구이,밥,김치찌개,모둠장조림,20.4,0.1,81.8,0.0
2016-06-28,화,2637,2321,63,253,226,0,917,535,6,28,0,0,밥,육개장,고등어구이,볶음밥/짜장소스,계란국,탕수만두,21.3,0.0,73.0,0.0
2016-06-29,수,2637,2322,67,248,0,0,820,487,6,29,0,0,밥,콩나물국,간장돼지갈비찜,밥,청국장찌개,아귀콩나물찜,21.6,1.7,78.4,0.0
2016-06-30,목,2637,2314,76,247,151,0,886,446,6,30,0,0,밥,버섯들깨찌개,닭오븐구이,주먹밥,김치말이국수,감자버터구이,23.5,0.0,78.3,0.0
2016-07-01,금,2643,2283,145,215,41,0,879,513,7,1,0,0,밥,수제비국,유자청제육볶음,밥,차돌박이된장찌개,깐풍기,23.9,43.1,84.6,0.0
2016-07-04,월,2643,2365,88,190,385,0,1292,582,7,4,0,0,밥,감자고추장찌개,버섯불고기,밥,열무된장국,닭볶음탕,23.8,0.5,88.3,0.0
2016-07-05,화,2643,2362,55,226,376,0,952,551,7,5,0,0,밥,쇠고기미역국,꽁치김치말이찜,굴소스파인볶음밥,맑은국,탕수어,26.5,0.1,80.9,0.0
2016-07-06,수,2643,2363,56,224,0,0,939,484,7,6,0,0,곤드레밥,가쯔오장국,닭강정,밥,시금치국,오징어볶음,26.4,9.3,78.6,0.0
2016-07-07,목,2643,2341,64,238,340,0,857,494,7,7,0,0,밥,된장찌개,갈치조림,밥,함박스테이크,단호박스프,25.9,0.0,78.1,0.0
2016-07-08,금,2643,2228,155,260,60,0,863,534,7,8,0,0,밥,우무묵냉국,갈릭돈까스,밥,알탕,고추잡채*꽃빵,25.5,0.0,74.9,0.0
2016-07-11,월,2643,2312,121,210,366,0,1115,630,7,11,0,0,밥,호박잎찌개,돈육굴소스볶음,밥,부대찌개,가자미튀김,24.4,2.2,84.9,0.0
2016-07-12,화,2643,2348,72,223,382,0,919,519,7,12,0,0,밥,건새우아욱국,순살파닭,볶음밥,쌀국수,수제핫도그,24.2,4.2,86.8,0.0
2016-07-13,수,2643,2323,79,241,0,0,866,483,7,13,0,0,나물비빔밥,오이냉국,사천식탕수육,밥,쇠고기샤브국,황태양념구이,25.8,0.0,80.1,0.0
2016-07-14,목,2643,2307,84,252,308,0,781,550,7,14,0,0,밥,배추된장국,매운주꾸미볶음,멸치주먹밥,물냉면,과일샐러드,26.7,0.0,67.1,0.0
2016-07-15,금,2643,2193,189,261,55,0,867,503,7,15,0,0,밥,북어계란국,등갈비김치찜,밥,오징어국,쇠고기장조림,25.0,0.0,64.9,0.0
2016-07-18,월,2643,2309,126,208,343,0,1158,596,7,18,0,0,밥,순두부찌개,돈육떡강정,밥,느타리버섯국,고등어카레구이,24.3,0.0,72.6,0.0
2016-07-19,화,2643,2299,111,233,263,0,888,424,7,19,0,0,밥,시래기국,목살데리야끼,콩나물밥,맑은국,너비아니*부추생채,24.7,0.0,74.5,0.0
2016-07-20,수,2643,2281,124,238,0,0,844,443,7,20,0,0,밥,사골우거지탕,미트볼조림,밥,동태찌개,치킨핑거,24.5,0.0,67.8,0.0
2016-07-21,목,2643,2273,115,255,263,0,733,446,7,21,0,0,밥,우묵콩국,고추장불고기,볶음밥*자장소스,계란파국,유산슬,24.3,0.0,71.8,0.0
2016-07-22,금,2643,2120,251,272,47,0,661,501,7,22,0,0,참치회덮밥,미소장국,고구마치즈구이,밥,돈육김치찌개,깐풍기,24.0,0.0,75.5,0.0
2016-07-25,월,2643,2186,277,180,247,0,1086,584,7,25,0,0,밥,쇠고기미역국,불닭볶음,밥,콩가루배추국,돈까스,28.0,28.4,76.4,0.0
2016-07-26,화,2643,2198,260,185,269,0,927,582,7,26,0,0,밥,청국장찌개,미니채소떡갈비,충무김밥,잔치국수,오징어무침,28.0,0.0,74.5,0.0
2016-07-27,수,2643,2152,299,192,0,0,872,423,7,27,0,0,밥,시금치국,동파삼겹수육,밥,어묵국,닭볶음탕,28.6,0.0,71.6,0.0
2016-07-28,목,2643,2099,340,204,197,0,816,434,7,28,0,0,밥,꽃게탕,훈제오리냉채,카레라이스,맑은국,순대야채볶음,28.7,0.0,73.6,0.0
2016-07-29,금,2643,1950,486,207,36,0,671,472,7,29,0,0,연복풍덮밥,도토리묵냉국,꽁치오븐구이,밥,아욱국,등뼈묵은지찜,28.6,0.0,74.6,0.0
2016-08-01,월,2644,2023,512,109,238,0,1055,510,8,1,0,0,밥,부대찌개*라면사리,갈치구이,밥,콩나물국,소불고기,26.8,1.6,73.9,0.0
2016-08-02,화,2644,2017,460,167,268,0,829,515,8,2,0,0,열무보리비빔밥,팽이장국,꽃맛살볶음,밥,짬뽕수제비국,모둠장조림,25.9,10.2,78.9,0.0
2016-08-03,수,2644,1976,485,183,0,0,802,363,8,3,0,0,밥,버섯들깨탕,레몬탕수육,주먹밥,냉모밀국수,소고기퀘사디아,26.1,0.5,78.3,0.0
2016-08-04,목,2644,1977,467,200,262,0,671,456,8,4,0,0,밥,복숭아미역냉국,닭데리야끼조림,오므라이스,가쯔오장국,떡볶이,27.1,0.0,73.6,0.0
2016-08-05,금,2644,1894,538,212,46,0,641,448,8,5,0,0,밥,된장찌개,매콤돼지갈비찜,밥,쇠고기무국,쭈꾸미볶음,27.7,0.0,69.8,0.0
2016-08-08,월,2644,2043,421,180,255,0,1038,480,8,8,0,0,밥,호박잎된장국,유자청제육볶음,밥,북어국,찜닭,27.5,0.4,73.0,0.0
2016-08-09,화,2644,2070,392,182,286,0,874,470,8,9,0,0,밥,콩나물국,미니함박조림,작은밥,콩국수,멕시칸샐러드,27.4,0.0,73.8,0.0
2016-08-10,수,2644,2045,411,188,0,0,842,451,8,10,0,0,밥,사과오이냉국,장어강정,밥,닭개장,해물청경채볶음,29.1,0.0,67.0,0.0
2016-08-11,목,2644,2029,413,202,295,0,845,530,8,11,0,0,밥,시래기국,삼겹살오븐구이,볶음밥,스파게티/크림스프,치킨텐더,29.9,0.0,67.1,0.0
2016-08-12,금,2644,1842,587,215,60,0,708,410,8,12,0,0,불고기덮밥,맑은국,새우까스&탈탈소스,밥,김치찌개,삼치된장구이,30.5,0.0,66.3,0.0
